IoC,Type
a05144d7254b419d3a09787e280b4be3,FileHash1
candatamsna.info,Domain
candatamsnb.info,Domain
candatamsnc.info,Domain
candatamsnd.info,Domain
candatamsnsdn.info,Domain
mapdatamsna.info,Domain
mapdatamsnb.info,Domain
mapdatamsnc.info,Domain
mapdatamsnd.info,Domain
mapdatamsnsdn.info,Domain
rqmetrixa.info,Domain
rqmetrixb.info,Domain
rqmetrixc.info,Domain
rqmetrixd.info,Domain
rqmetrixsdn.info,Domain
48bd9a577d114.maliciousdomain.xyz,Domain
84548cf16e26979ff9a3fa2b3f854f34,FileHash1
