IoC,Type
3dauth.live,Domain
3dconfirrnation.com,Domain
accesscheckout.online,Domain
accessverification.online,Domain
accunt-loqin.ml,Domain
accurateprivacy.online,Domain
atlantic-council.com,Domain
bitly.org.il,Domain
boom-boom.ga,Domain
bytli.us,Domain
continuetogo.me,Domain
css-ethz.ch,Domain
cutly.biz,Domain
cutly.vip,Domain
daemon-mailer.com,Domain
de-ma.online,Domain
direct-access.info,Domain
discovery-protocol.ml,Domain
docfileview.org,Domain
doctransfer.online,Domain
dr-sup.live,Domain
dreamycareer.com,Domain
email-daemon.site,Domain
email-protection.online,Domain
file-access.com,Domain
filetransfer.club,Domain
freahman.online,Domain
freshconnect.live,Domain
g-shorturl.com,Domain
gdrive-files.com,Domain
gettogether.quest,Domain
gl-sup.online,Domain
gm-sup.com,Domain
linkauthenticator.online,Domain
litby.us,Domain
lovetoflight.com,Domain
lst-accurate.com,Domain
mailer-daemon-message.co,Domain
mailer-daemon.live,Domain
mailer-daemon.me,Domain
mailer-daemon.net,Domain
mailer-daemon.online,Domain
mailer-daemon.org,Domain
mailer-daemon.site,Domain
mailer-daemon.us,Domain
mailer-support.online,Domain
mailerdaemon.info,Domain
mfa-ic.ae,Domain
mofa-ic.ae,Domain
myconnect-support.com,Domain
on-dr.com,Domain
qmaiil.ml,Domain
redirect-drive.online,Domain
safeshortl.ink,Domain
shared-files-access.live,Domain
sharefilesonline.live,Domain
summit-files.com,Domain
tinyurl.co.il,Domain
tinyurl.ink,Domain
tinyurl.live,Domain
uani.us,Domain
verificationservice.online,Domain
washingtonlnstitute.org,Domain
youtransfer.live,Domain
covid19questionnaire.freesite.vip,Domain
