IoC,Type
http://103.124.104.22/zjxb/bO.txt,Domain
http://103.124.104.76/wsr6oh/Y.txt,Domain
http://103.124.105.208/wha5uxh/D.txt,Domain
http://103.124.105.233/yusx/dMA.txt,Domain
http://103.124.106.224/uuny19/bb1nG.txt,Domain
http://104.129.20.167/xhsmd/bOWEU.txt,Domain
http://146.19.213.36/dbna/H.txt,Domain
http://146.19.213.36/vei/yEZZ.txt,Domain
http://155.94.208.137/tgnd/zH9.txt,Domain
http://176.123.2.146/5aohv/9mn.txt,Domain
http://176.123.2.146/vbcsn/UOx.txt,Domain
http://66.63.188.19/bmkmsw/2.txt,Domain
http://85.239.33.149/naams/p3aV.txt,Domain
http://89.117.1.160/4bvt1yw/iC.txt,Domain
http://89.117.1.160/zkf2r4j/VmD.txt,Domain
http://89.117.1.161/epxq/A.txt,Domain
http://89.117.1.161/mtdi/ZQCw.txt,Domain
http://89.117.2.33/7ipw/7ohq.txt,Domain
http://89.117.2.33/hvwsuw/udrh.txt,Domain
http://89.117.2.34/3m3sxh6/IuM.txt,Domain
http://89.117.2.34/4qp/8Y.txt,Domain
