IoC,Type
africanagrirnarket.com,Domain
alliedhealthcaresolution.com,Domain
allorganicitems.com,Domain
allorginichomes.xyz,Domain
apppowerappsportals.top,Domain
baptihealth.com,Domain
bhlergroup.com,Domain
claytoncontsruction.net,Domain
desirenetwork.in,Domain
docuinshare.top,Domain
dolh6growth.online,Domain
drop-project.top,Domain
emea-nec.com,Domain
files42.com,Domain
florenceorganics.us,Domain
glamorouslengths.su,Domain
docsafybeifur2mabbggrihscauthenticnotes.online,Domain
greyscaleal.com,Domain
guardiansresearch.org,Domain
hsrcxeeae.mypi.co,Domain
intertrustsgroup.com,Domain
lovencareurology.in,Domain
101.99.92.124,IP
185.125.100.81,IP
sneakylog.store,Domain
tesla-apply-job.com,Domain
