IoC,Type
80.66.88.145,IP
a-1bcdn.com,Domain
intranet.mcasavaya.com,Domain
185.143.223.64,IP
6e068b9dcd8df03fd6456faeb4293c036b91a130a18f86a945c8964a576c1c70,FileHash3
149.248.0.82,IP
179.60.149.3,IP
185.8.106.231,IP
45.89.65.198,IP
5.34.178.21,IP
89.248.193.66,IP
a-1bcdn.com,Domain
drkgatevservicceoffice.net,Domain
onlysportsfitnessam.com,Domain
reactervnamnat.com,Domain
xfirecovery.pro,Domain
coding_guru@exploit.im,EmailAddress
intranet.mcasavaya.com,Domain
sanibroadbandcommunicton.duckdns.org,Domain
www.exemsi.com,Domain
